,0,1,2,3,4,5,6,7
12,10.0,Adam,100,CrossEntropyLoss(),0.1,"[4.013295690218608, 2.5937498251597084, 2.74801721572876, 2.5980162541071574, 2.672528739770255, 2.9216148972511293, 2.570188828309378, 2.5991658608118695, 2.754764262835184, 3.415048567454019]",9.45,8.47
13,10.0,RMSProp,100,CrossEntropyLoss(),0.1,"[38.84589579105377, 15.450006628036508, 12.355970223744709, 12.296067516009016, 13.002280759811404, 11.526695322990419, 13.403314757347113, 10.73955178260803, 11.033087515830998, 13.286702521642052]",13.71,13.15
14,10.0,SGD,100,CrossEntropyLoss(),0.1,"[3.219337511062622, 2.3155731240908315, 2.3221251249313357, 2.324479190508525, 2.323149796326955, 2.317777860164643, 2.335698242982229, 2.338880197207133, 2.319840693473815, 2.318018960952758]",13.71,13.15
15,0.1,Adam,500,CrossEntropyLoss(),0.1,"[2.279276649157206, 2.271416982014974, 2.270746429761251, 2.2712990442911787, 2.2710861762364707, 2.2706713875134783, 2.2708382606506343, 2.2700388232866926, 2.2704829772313433, 2.271852632363637]",15.65,17.89
16,0.1,RMSProp,500,CrossEntropyLoss(),0.1,"[2.315833588441213, 2.2767930229504905, 2.2744022210439048, 2.2739358345667524, 2.275544226169586, 2.274003386497498, 2.2738700111707053, 2.271593908468882, 2.2745997111002603, 2.2741071581840515]",15.65,17.89
17,0.1,SGD,500,CrossEntropyLoss(),0.1,"[2.2707379857699075, 2.270320991675059, 2.26997983455658, 2.2697026133537292, 2.2694799304008484, 2.2693386673927307, 2.269203782081604, 2.269080181916555, 2.268988529841105, 2.268916428089142]",15.65,17.89
18,0.05,Adam,500,CrossEntropyLoss(),0.1,"[2.2711797753969827, 2.269983847935994, 2.2702443599700928, 2.270105799039205, 2.2700698574384055, 2.2695091764132185, 2.2701332767804465, 2.2699621518452964, 2.2697488864262896, 2.269880394140879]",15.65,17.89
19,0.05,RMSProp,500,CrossEntropyLoss(),0.1,"[2.2837313413619995, 2.2715003291765847, 2.272238353888194, 2.2715722719828286, 2.2721202572186785, 2.2720026572545367, 2.2705170909563703, 2.2712324261665344, 2.2711883385976157, 2.2719295422236123]",15.65,17.89
20,0.05,SGD,500,CrossEntropyLoss(),0.1,"[2.269089261690776, 2.2690500219662986, 2.2690115769704184, 2.268967966238658, 2.2689385414123535, 2.2689098715782166, 2.2688774267832437, 2.2688592274983725, 2.268826941649119, 2.26881210009257]",15.65,17.89
21,0.01,Adam,500,CrossEntropyLoss(),0.1,"[2.269297381242116, 2.269003371397654, 2.2687865296999616, 2.2687273025512695, 2.268806536992391, 2.2688193321228027, 2.2687807480494184, 2.2688946922620135, 2.268838743368785, 2.2691619396209717]",15.65,17.89
22,0.01,RMSProp,500,CrossEntropyLoss(),0.1,"[2.270706415176391, 2.2699178457260127, 2.269328991572062, 2.269427458445231, 2.2695786555608115, 2.2693773905436196, 2.269206702709198, 2.2693652908007302, 2.2693680922190347, 2.2691563566525774]",15.65,17.89
23,0.01,SGD,500,CrossEntropyLoss(),0.1,"[2.2686329881350202, 2.268632153669993, 2.268631458282471, 2.26862766345342, 2.268628497918447, 2.2686269283294678, 2.2686258951822915, 2.2686260739962263, 2.2686245044072466, 2.2686231335004168]",15.65,17.89
