,practice_region,month,Anesthetists,Dentists,GPs,Gynaecologists,Midwives,Non-surgical specialists,Nurses,Osteopaths,Other non-doctors,Pediatricians,Physiotherapists,Psychologists,Radiologists,Surgeons
64,Bourgogne-Franche-Comté,2019-03-01,69.0,102.0215909090909,99.59880952380954,87.45849056603774,104.88666666666667,90.02824074074073,109.0,97.76666666666667,98.25,84.45454545454545,99.6252380952381,99.15454545454546,0.0,84.0111111111111
65,Bourgogne-Franche-Comté,2019-04-01,69.0,100.90689655172413,101.36884615384616,87.98888888888888,105.29444444444444,90.67008928571428,109.0,99.75605095541401,99.58695652173913,87.0,100.96045454545455,103.74615384615385,0.0,85.14488188976378
66,Bourgogne-Franche-Comté,2019-05-01,69.0,102.58131868131868,102.46483516483516,87.98888888888888,109.6186046511628,91.08197424892703,109.0,100.65864197530864,99.7375,87.0,102.17956521739131,104.83571428571429,0.0,85.82480620155039
67,Bourgogne-Franche-Comté,2019-06-01,69.0,103.95729166666666,103.04160839160839,87.98888888888888,105.93061224489797,91.56398305084745,115.66666666666667,100.96936416184971,101.13095238095238,87.0,97.75464285714285,109.66857142857143,0.0,86.48396946564885
68,Bourgogne-Franche-Comté,2019-07-01,69.0,104.71616161616161,103.60655172413793,86.63571428571429,108.06666666666668,92.0954732510288,115.66666666666667,99.87736842105264,102.04198473282443,87.0,102.76027027027027,110.7135135135135,0.0,85.54705882352941
69,Bourgogne-Franche-Comté,2019-08-01,69.0,104.62783505154638,104.39548611111111,87.60892857142858,108.06666666666668,92.0954732510288,115.66666666666667,100.12216494845362,103.03308823529412,87.0,102.92447368421053,111.19473684210526,0.0,85.66962962962963
70,Bourgogne-Franche-Comté,2019-09-01,69.0,105.2343137254902,105.82203947368421,88.46896551724137,111.09032258064516,93.30352941176471,115.66666666666667,102.84976744186046,103.34064516129031,88.16666666666667,104.85979591836735,112.085,0.0,86.21605839416058
71,Bourgogne-Franche-Comté,2019-10-01,69.0,106.78090909090909,106.47767295597485,89.15593220338982,111.65,94.46943396226416,115.66666666666667,103.55810810810812,105.32619047619048,88.16666666666667,104.24773584905661,114.40888888888888,0.0,86.99577464788732
72,Bourgogne-Franche-Comté,2019-11-01,69.0,106.64954954954955,106.71957831325301,88.57833333333333,110.61408450704226,95.485559566787,86.75,104.32026431718062,106.62954545454545,88.16666666666667,111.13779661016949,115.32083333333333,0.0,86.99577464788732
73,Bourgogne-Franche-Comté,2019-12-01,69.0,106.67327586206896,106.72241887905605,88.57833333333333,111.56052631578947,96.12968197879859,86.75,105.29285714285714,108.05744680851063,88.16666666666667,111.4355,116.37307692307692,0.0,86.99577464788732
74,Bourgogne-Franche-Comté,2020-01-01,69.0,106.86410256410257,107.20934844192635,91.58493150684932,104.80666666666667,95.8996551724138,95.2,106.53755102040816,108.65888324873096,90.28205128205128,108.44013698630137,117.27499999999999,0.0,87.96986301369863
75,Bourgogne-Franche-Comté,2020-02-01,69.0,107.77131147540985,106.90929648241206,91.02535211267606,108.90967741935484,96.41404109589041,79.33333333333333,107.43463035019455,108.52242990654206,90.28205128205128,107.69397435897434,116.12131147540983,0.0,88.025
76,Bourgogne-Franche-Comté,2020-03-01,69.0,107.43583333333332,108.04405594405594,91.55277777777778,110.28750000000001,96.74867549668873,79.33333333333333,107.45444015444016,108.45677272727274,91.25,106.61412499999999,117.4470588235294,0.0,88.91073825503356
77,Bourgogne-Franche-Comté,2020-04-01,69.0,107.43583333333332,108.65659090909091,91.55277777777778,110.28750000000001,97.32025316455696,79.33333333333333,109.44671814671815,109.60438596491228,91.53658536585365,107.16012195121951,119.30123456790123,0.0,89.76709677419355
78,Bourgogne-Franche-Comté,2020-05-01,69.0,107.43583333333332,108.97522321428572,92.47671232876712,110.87346938775511,98.10246913580247,79.33333333333333,110.10335820895523,109.55042735042734,91.53658536585365,109.41445652173913,118.11190476190475,0.0,90.74844720496894
79,Bourgogne-Franche-Comté,2020-06-01,69.0,108.08114754098361,109.32423580786026,93.08933333333333,111.41188118811881,98.65810397553517,86.42857142857143,110.03258426966292,113.2887029288703,91.53658536585365,108.83460784313725,118.36511627906977,0.0,90.56211180124224
80,Bourgogne-Franche-Comté,2020-07-01,69.0,109.2952,109.0508583690987,93.08933333333333,111.21386138613862,98.92900302114803,86.42857142857143,110.38125000000001,114.15810276679842,92.42857142857143,109.72137614678898,118.48735632183907,0.0,90.63888888888889
81,Bourgogne-Franche-Comté,2020-08-01,69.0,109.75703125,109.30639658848614,93.56184210526315,111.21386138613862,99.019578313253,86.42857142857143,110.79601449275363,114.0398406374502,92.42857142857143,110.77845454545454,118.24,0.0,90.79509202453988
82,Bourgogne-Franche-Comté,2020-09-01,69.0,110.40526315789474,109.549375,94.84625,111.35929203539823,99.57205882352942,86.42857142857143,111.88114478114477,115.3556338028169,94.0909090909091,111.64388888888888,118.76161616161616,0.0,91.10181818181817
83,Bourgogne-Franche-Comté,2020-10-01,69.0,110.94580152671756,110.56227544910179,95.02098765432099,111.25948275862069,99.70816326530613,86.42857142857143,112.4387622149837,115.26621160409556,95.6086956521739,111.97825757575757,118.87884615384615,0.0,91.31428571428572
84,Bourgogne-Franche-Comté,2020-11-01,69.0,110.94580152671756,110.53484251968503,99.88928571428572,112.3328125,100.03448275862068,77.4,112.23079365079364,115.08524590163934,95.6086956521739,112.03014598540146,119.51711711711711,0.0,91.64252873563218
85,Bourgogne-Franche-Comté,2020-12-01,69.0,110.32148148148148,110.66112185686654,100.03139534883722,112.58923076923077,100.52807486631016,77.4,112.99596273291924,115.28571428571429,95.6086956521739,110.58832167832168,119.68495575221239,0.0,92.12881355932203
86,Bourgogne-Franche-Comté,2021-01-01,69.0,110.88148148148149,110.37284894837477,100.56966292134832,110.95038759689923,100.86090425531914,73.4,113.81272189349112,115.937106918239,95.36,112.39251748251748,120.5792,0.0,91.9877094972067
87,Bourgogne-Franche-Comté,2021-02-01,69.0,111.52857142857142,110.66312849162011,101.49673913043479,112.41679389312978,101.21943005181346,86.42857142857143,114.034110787172,116.53333333333333,95.36,113.68960264900663,120.51129032258065,0.0,92.19333333333333
88,Bourgogne-Franche-Comté,2021-03-01,69.0,111.78467153284672,110.94742647058824,102.36914893617022,112.83529411764707,101.47849740932642,86.42857142857143,113.342,117.45855072463767,95.36,113.76212903225807,121.66716417910447,0.0,92.65464480874317
89,Bourgogne-Franche-Comté,2021-04-01,69.0,113.3551724137931,110.50987202925046,102.36914893617022,112.88115942028986,102.22627551020408,86.42857142857143,113.67521126760562,117.97739130434782,95.24347826086957,112.92987096774195,123.04183006535949,0.0,92.99623655913977
90,Bourgogne-Franche-Comté,2021-05-01,69.0,113.49310344827586,111.28392857142858,102.36914893617022,113.14100719424461,102.33172588832487,82.66666666666667,113.83156424581004,117.75127478753541,95.24347826086957,113.67890322580645,123.21038961038963,0.0,94.77602040816326
91,Bourgogne-Franche-Comté,2021-06-01,69.0,114.64965986394557,111.84063047285464,101.20957446808511,113.37304964539007,102.913,82.66666666666667,114.39427792915531,119.29289617486339,96.17446808510638,113.1834193548387,124.17317073170733,0.0,95.45649999999999
92,Bourgogne-Franche-Comté,2021-07-01,69.0,114.01013513513513,112.36381034482758,101.76521739130435,109.93871621621622,102.38148514851486,73.4,115.9042216358839,118.58900804289543,98.28510638297871,114.0851875,124.43952095808385,0.0,96.47722772277228
93,Bourgogne-Franche-Comté,2021-08-01,69.0,113.08214285714286,111.5305254237288,101.68571428571428,110.06664429530201,100.38757946210268,82.12,116.78136482939632,118.69867021276595,98.28510638297871,113.90272151898735,125.5546511627907,0.0,96.61822660098522
94,Bourgogne-Franche-Comté,2021-09-01,69.0,113.62587412587412,109.19751227495907,101.68571428571428,111.3120625,99.07064133016627,93.12,114.58987309644671,118.72767263427109,99.13333333333333,112.7376023391813,125.97386363636365,0.0,94.70663507109003
95,Bourgogne-Franche-Comté,2021-10-01,61.0,112.54137931034482,109.91757673667205,101.81555555555555,113.08652173913043,99.19147619047618,106.22857142857143,116.97332493702771,119.19301507537688,99.13333333333333,113.38131428571428,126.40329670329672,0.0,95.15761904761904
96,Bourgogne-Franche-Comté,2021-11-01,61.0,114.14864864864865,110.33971153846153,101.81555555555555,114.0558125,101.01671428571427,113.51111111111112,121.77308290155442,122.44773869346733,99.94693877551019,117.47274285714285,128.1054347826087,0.0,96.51196172248804
97,Bourgogne-Franche-Comté,2021-12-01,61.0,121.29591836734694,119.40480376766091,109.72000000000001,120.81716981132075,108.04398550724638,119.06666666666666,128.02662404092072,128.77922693266834,109.56127659574469,125.08614035087719,132.8621243523316,0.0,104.4215238095238
98,Bourgogne-Franche-Comté,2022-01-01,93.05,121.61971830985915,118.63788976377953,105.89045454545455,120.74149068322981,106.4393932038835,119.06666666666666,126.12636828644501,128.7810411622276,109.34851063829788,124.92739644970413,132.20860576923076,0.0,104.08792270531401
99,Bourgogne-Franche-Comté,2022-02-01,93.05,121.78467153284672,118.78174050632911,105.89045454545455,120.74149068322981,106.48182481751824,119.06666666666666,126.45092544987148,128.95004938271603,109.34851063829788,124.69898203592814,132.92575757575756,0.0,104.08792270531401
100,Bretagne,2018-01-01,0.0,104.38484848484848,91.65907258064516,83.81777777777778,98.09166666666665,80.80162162162162,0.0,113.93548387096774,103.50666666666666,66.03,95.5,96.58333333333333,1688.48,75.84848484848484
101,Bretagne,2018-02-01,0.0,104.553125,90.67574074074075,83.81777777777778,99.3037037037037,82.1778350515464,0.0,113.25,104.15294117647058,66.03,93.74358974358974,98.35714285714286,1416.0666666666666,76.46346153846153
102,Bretagne,2018-03-01,0.0,103.03636363636363,90.72807971014493,83.09056603773585,98.46896551724137,82.1778350515464,0.0,112.87341772151899,104.29142857142857,66.03,94.125,99.6875,1416.0666666666666,77.5
