MoM Growth Rate,Location,Speciality,1/2/22,1/3/22,1/1/23,1/1/24,1/1/25,1/1/26,1/1/27,Profit,,2/1/22
0.048945592,Normandie,Other non-doctors,673,705.9403836,1138.407243,2019.915486,3584.006159,6359.22653,11283.39636,"1,419.52 €",,
0.06080703,Nouvelle-Aquitaine,Other non-doctors,1714,1818.22325,3281.036781,6662.661809,13529.58389,27473.95044,55790.18237,"1,318.31 €",,
0.055676681,Occitanie,Other non-doctors,1696,1790.427651,3077.981891,5897.082467,11298.17616,21646.09114,41471.58401,"1,279.81 €",,
0.056451325,Pays de la Loire,Other non-doctors,980,1035.322298,1792.959539,3465.487962,6698.202919,12946.49493,25023.38807,"1,344.91 €",,
0.062890527,Provence-Alpes-Côte d'Azur,Other non-doctors,1874,1991.856847,3665.586622,7620.894045,15844.12866,32940.54627,68484.64892,"1,272.99 €",,
0.023805518,Auvergne-Rhône-Alpes,Pediatricians,163,166.8802994,211.1444782,280.0201721,371.3632365,492.5025664,653.1577552,"1,532.10 €",,
0.030164947,Bourgogne-Franche-Comté,Pediatricians,44,45.32725766,61.01366687,87.15821849,124.5057942,177.8569257,254.0691878,"1,159.10 €",,
0.044497947,Bretagne,Pediatricians,64,66.84786863,103.3150222,174.2025724,293.7282069,495.2639813,835.0795237,"1,308.80 €",,
0.022838441,Centre-Val de Loire,Pediatricians,38,38.86786077,48.71481479,63.87715376,83.75872494,109.8283751,144.0121251,"1,219.61 €",,
0.096748417,Corse,Pediatricians,1,1.096748417,2.761704315,8.364911938,25.33643857,76.74140794,232.4416542,"1,003.25 €",,
0.03416092,DOM-TOM,Pediatricians,2,2.068321841,2.894005425,4.330687122,6.480585968,9.697766961,14.51206488,0.00 €,,
0.025860566,Grand Est,Pediatricians,111,113.8705228,146.9923295,199.6892574,271.2780976,368.5316238,500.6506566,"1,174.90 €",,
0.028966387,Hauts-de-France,Pediatricians,83,85.40421013,113.629517,160.0683311,225.4860471,317.63908,447.4537847,"1,567.02 €",,
0.01730459,Île-de-France,Pediatricians,541,550.3617834,653.3686787,802.731604,986.2395446,1211.6982,1488.697685,"1,610.53 €",,
0.030059839,Normandie,Pediatricians,52,53.56311164,72.02617424,102.7637173,146.6186662,209.1889418,298.4614067,"1,162.44 €",,
0.041375093,Nouvelle-Aquitaine,Pediatricians,130,135.3787621,203.059074,330.3000478,537.2728213,873.938973,1421.567029,"1,533.39 €",,
0.034991544,Occitanie,Pediatricians,162,167.6686302,236.4938405,357.323398,539.8872565,815.7267377,1232.498272,"1,574.10 €",,
0.022122809,Pays de la Loire,Pediatricians,64,65.41585979,81.41676702,105.8646124,137.6536624,178.9883357,232.734994,"1,402.55 €",,
0.032640462,Provence-Alpes-Côte d'Azur,Pediatricians,167,172.4509572,237.7699632,349.5800564,513.9682666,755.6591809,1111.003995,"1,557.42 €",,
0.054752474,Auvergne-Rhône-Alpes,Physiotherapists,962,1014.67188,1729.143958,3278.217646,6215.046979,11782.86896,22338.6889,"1,474.66 €",,
0.076309154,Bourgogne-Franche-Comté,Physiotherapists,160,172.2094647,359.2752971,868.3039283,2098.534795,5071.782058,12257.5872,"1,509.43 €",,
0.053033568,Bretagne,Physiotherapists,376,395.9406216,663.8228802,1234.12402,2294.380238,4265.519987,7930.098274,"1,431.73 €",,
0.085354866,Centre-Val de Loire,Physiotherapists,86,93.34051847,211.7326268,565.7816756,1511.854404,4039.904152,10795.2363,"1,550.57 €",,
0.171549903,Corse,Physiotherapists,15,17.57324855,85.59728228,572.2548543,3825.771211,25576.93526,170992.8747,"1,165.60 €",,
0.091071105,DOM-TOM,Physiotherapists,12,13.09285326,31.30147809,89.08436737,253.5351362,721.5639194,2053.57923,"1,110.81 €",,
0.079281196,Grand Est,Physiotherapists,754,813.7780221,1745.227565,4359.808285,10891.37524,27208.08963,67969.39091,"1,498.06 €",,
0.054508901,Hauts-de-France,Physiotherapists,734,774.009533,1315.978539,2488.008179,4703.864473,8893.194631,16813.6032,"1,436.38 €",,
0.032432575,Île-de-France,Physiotherapists,2683,2770.016598,3811.530146,5590.359592,8199.363293,12025.98103,17638.46955,"1,465.17 €",,
0.076426183,Normandie,Physiotherapists,116,124.8654372,260.7862991,631.09655,1527.23842,3695.880118,8943.94069,"1,398.04 €",,
0.085812636,Nouvelle-Aquitaine,Physiotherapists,821,891.452174,2030.705578,5453.881002,14647.52857,39338.9759,105652.9788,"1,390.17 €",,
0.063698325,Occitanie,Physiotherapists,830,882.8696094,1637.123035,3434.812393,7206.505512,15119.81318,31722.55266,"1,390.54 €",,
0.062328065,Pays de la Loire,Physiotherapists,492,522.665408,956.7760776,1976.578961,4083.36337,8435.71481,17427.12512,"1,428.60 €",,
